,dt,name,median_spores,prevalence_hi
539,22520,R9C2PL_MON,1.36811730691657E-06,0
540,22560,R10C1PL_MON,5.17384979997923E-05,0
541,22560,R10C2SL_MON,2.5516465802671E-05,0
542,22560,R1C1SK_MON,8.55775478242752E-06,0
543,22560,R1C2PM_MON,1.69842136576893E-06,0
544,22560,R2C1PK_MON,3.51632514434282E-06,0
545,22560,R2C2SM_MON,9.55341583727148E-08,0
546,22560,R3C1SK_MON,3.87623889988117E-06,0
547,22560,R3C2PM_MON,3.45193979219162E-06,0
548,22560,R4C1PK_MON,3.24888733677249E-05,0
549,22560,R4C2SM_MON,3.98020727110399E-05,0
550,22560,R5C1SK_MON,7.79639592204367E-06,0
551,22560,R5C2PM_MON,3.52437725089513E-06,0
552,22560,R6C1PK_MON,3.12792341939947E-05,0
553,22560,R6C2SM_MON,0.000111007650737,0
554,22560,R7C1SK_MON,1.86777177818739E-05,0
555,22560,R7C2PM_MON,3.13715470899296E-05,0
556,22560,R8C1PL_MON,3.38454471828515E-05,0.02
557,22560,R8C2SL_MON,4.47903797799501E-06,0
558,22560,R9C1SL_MON,0.000105178431842,0
559,22560,R9C2PL_MON,1.56993339877506E-06,0
560,22600,R10C1PL_MON,5.94083321777601E-05,0.00990099009901
561,22600,R10C2SL_MON,4.68361059998502E-05,0
562,22600,R1C1SK_MON,2.32347696250219E-05,0
563,22600,R1C2PM_MON,2.10616696800204E-06,0
564,22600,R2C1PK_MON,4.15020398971274E-06,0
565,22600,R2C2SM_MON,1.72174134251548E-07,0
566,22600,R3C1SK_MON,1.79917243683101E-05,0
567,22600,R3C2PM_MON,4.11766280809893E-06,0
568,22600,R4C1PK_MON,1.97703667574844E-05,0
569,22600,R4C2SM_MON,4.75405355998882E-05,0
570,22600,R5C1SK_MON,2.22687154087481E-05,0
571,22600,R5C2PM_MON,4.19371347136166E-06,0
572,22600,R6C1PK_MON,3.21616467452683E-05,0
573,22600,R6C2SM_MON,0.000200056384464,0
574,22600,R7C1SK_MON,1.97676101799065E-05,0
575,22600,R7C2PM_MON,4.13571946772893E-05,0
576,22600,R8C1PL_MON,4.19954348176039E-05,0.02
577,22600,R8C2SL_MON,5.17388533680473E-06,0
578,22600,R9C1SL_MON,0.000181264746851,0
579,22600,R9C2PL_MON,1.89545107513757E-06,0
580,22640,R10C1PL_MON,8.68427262728536E-05,0.00990099009901
581,22640,R10C2SL_MON,7.47069207396349E-05,0
582,22640,R1C1SK_MON,3.83092383473395E-05,0
583,22640,R1C2PM_MON,2.37235756582288E-06,0
584,22640,R2C1PK_MON,4.71609003786032E-06,0
585,22640,R2C2SM_MON,3.15576970038966E-07,0
586,22640,R3C1SK_MON,2.55436141451567E-05,0
587,22640,R3C2PM_MON,4.67954118154741E-06,0
588,22640,R4C1PK_MON,4.78880362242895E-05,0
589,22640,R4C2SM_MON,6.8694125690697E-05,0
590,22640,R5C1SK_MON,7.84399890407666E-05,0
591,22640,R5C2PM_MON,4.77401955641078E-06,0
592,22640,R6C1PK_MON,3.29547280809575E-05,0
593,22640,R6C2SM_MON,0.000309414020002,0
594,22640,R7C1SK_MON,2.10371726496602E-05,0
595,22640,R7C2PM_MON,9.07910318031155E-05,0
596,22640,R8C1PL_MON,5.06944566253514E-05,0.02
597,22640,R8C2SL_MON,6.34346125672462E-06,0
598,22640,R9C1SL_MON,0.000291900172035,0
599,22640,R9C2PL_MON,2.21066563740106E-06,0
